,age,sibsp,parch,fare,first_class?,sex_male,embarked_C,embarked_Q,SCORE
0,22.0,1,0,7.25,0,1,0,0,0.0036019483714249587
1,38.0,1,0,71.2833,1,0,1,0,0.9972620201227557
2,26.0,0,0,7.925,0,0,0,0,0.03701701049782134
3,35.0,1,0,53.1,1,0,0,0,0.897859772754839
4,35.0,0,0,8.05,0,1,0,0,0.07034891066513838
6,54.0,0,0,51.8625,1,1,0,0,0.9953285634941954
7,2.0,3,1,21.075,0,1,0,0,5.2966365119202356e-05
8,27.0,0,2,11.1333,0,0,0,0,0.011156751328741702
9,14.0,1,0,30.0708,0,0,1,0,0.12070244870276749
10,4.0,1,1,16.7,0,0,0,0,0.0017629165811639221
11,58.0,0,0,26.55,1,0,0,0,0.8489619906842215
12,20.0,0,0,8.05,0,1,0,0,0.026859323063886113
13,39.0,1,5,31.275,0,1,0,0,0.005079296358325536
14,14.0,0,0,7.8542,0,0,0,0,0.01668715172438475
15,55.0,0,0,16.0,0,0,0,0,0.4799463191354196
16,2.0,4,1,29.125,0,1,0,1,1.564553941224907e-05
18,31.0,1,0,18.0,0,0,0,0,0.031212402713096127
20,35.0,0,0,26.0,0,1,0,0,0.5373015883397987
21,34.0,0,0,13.0,0,1,0,0,0.1306173574717058
22,15.0,0,0,8.0292,0,0,0,1,0.012357002758696544
23,28.0,0,0,35.5,1,1,0,0,0.75474851141832
24,8.0,3,1,21.075,0,0,0,0,7.518180421805753e-05
25,38.0,1,5,31.3875,0,0,0,0,0.004583180284328728
27,19.0,3,2,263.0,1,1,0,0,0.9999999999984794
30,40.0,0,0,27.7208,1,1,1,0,0.8181050459875316
33,66.0,0,0,10.5,0,1,0,0,0.4689835220222668
34,28.0,1,0,82.1708,1,1,1,0,0.999027762179983
35,42.0,1,0,52.0,1,1,0,0,0.9262280126396204
37,21.0,0,0,8.05,0,1,0,0,0.028673831130663126
38,18.0,2,0,18.0,0,0,0,0,0.001735276734044471
39,14.0,1,0,11.2417,0,0,1,0,0.007764772152646312
40,40.0,1,0,9.475,0,0,0,0,0.01587452276005796
41,27.0,1,0,21.0,0,0,0,0,0.03740683788218338
43,3.0,1,2,41.5792,0,0,1,0,0.05976275468329762
44,19.0,0,0,7.8792,0,0,0,1,0.015751145471379346
49,18.0,1,0,17.8,0,0,0,0,0.012871889284349756
50,7.0,4,1,39.6875,0,1,0,0,0.00016268724895312042
51,21.0,0,0,7.8,0,1,0,0,0.027633305822134722
52,49.0,1,0,76.7292,1,0,1,0,0.9994280727635886
53,29.0,1,0,26.0,0,0,0,0,0.08685734567588785
54,65.0,0,1,61.9792,1,1,1,0,0.999450439226184
56,21.0,0,0,10.5,0,0,0,0,0.03904917959715137
57,28.5,0,0,7.2292,0,1,1,0,0.08415619980436433
58,5.0,1,2,27.75,0,0,0,0,0.004146759969794966
59,11.0,5,2,46.9,0,1,0,0,3.385472402875741e-05
60,22.0,0,0,7.2292,0,1,1,0,0.056029329509344215
61,38.0,0,0,80.0,1,0,0,0,0.9997992686594989
62,45.0,1,0,83.475,1,1,0,0,0.9994583291770703
63,4.0,3,2,27.9,0,1,0,0,7.02356229133699e-05
66,29.0,0,0,10.5,0,0,0,0,0.06505860101781076
67,19.0,0,0,8.1583,0,1,0,0,0.025563901925601564
68,17.0,4,2,7.925,0,0,0,0,9.885090231921614e-07
69,26.0,2,0,8.6625,0,1,0,0,0.0007577851074301241
70,32.0,0,0,10.5,0,1,0,0,0.08238869732321225
71,16.0,5,2,46.9,0,0,0,0,4.492990425272806e-05
72,21.0,0,0,73.5,0,1,0,0,0.998397471620527
73,26.0,1,0,14.4542,0,1,1,0,0.02926631673933184
74,32.0,0,0,56.4958,0,1,0,0,0.9899218152241653
75,25.0,0,0,7.65,0,1,0,0,0.03507443244544271
78,0.83,0,2,29.0,0,1,0,0,0.030095924174890654
79,30.0,0,0,12.475,0,0,0,0,0.09133103076070156
80,22.0,0,0,9.0,0,1,0,0,0.03519877622854195
81,29.0,0,0,9.5,0,1,0,0,0.059291045371439054
83,28.0,0,0,47.1,1,1,0,0,0.9472934055771535
84,17.0,0,0,10.5,0,0,0,0,0.030117914834244506
85,33.0,3,0,15.85,0,0,0,0,0.00044415479132028224
86,16.0,1,3,34.375,0,1,0,0,0.010239759877188708
88,23.0,3,2,263.0,1,0,0,0,0.9999999999987745
89,24.0,0,0,8.05,0,1,0,0,0.034859005130588955
90,29.0,0,0,8.05,0,1,0,0,0.04811860725658917
91,20.0,0,0,7.8542,0,1,0,0,0.026091602596317712
92,46.0,1,0,61.175,1,1,0,0,0.9851520534007108
93,26.0,1,2,20.575,0,1,0,0,0.006013694034332493
94,59.0,0,0,7.25,0,1,0,0,0.2517440162893
96,71.0,0,0,34.6542,1,1,1,0,0.9904608013347914
97,23.0,0,1,63.3583,1,1,1,0,0.9925469054135247
98,34.0,0,1,23.0,0,0,0,0,0.21116824678459986
99,34.0,1,0,26.0,0,1,0,0,0.1231126488798129
100,28.0,0,0,7.8958,0,0,0,0,0.0419418612082922
102,21.0,0,1,77.2875,1,1,0,0,0.9978067991612073
103,33.0,0,0,8.6542,0,1,0,0,0.0676161035786694
104,37.0,2,0,7.925,0,1,0,0,0.001418222580583294
105,28.0,0,0,7.8958,0,1,0,0,0.04413055352827888
106,21.0,0,0,7.65,0,0,0,0,0.025663510110696484
108,38.0,0,0,7.8958,0,1,0,0,0.08293763333247858
110,47.0,0,0,52.0,1,1,0,0,0.992694947378886
111,14.5,1,0,14.4542,0,0,1,0,0.013021971060730471
112,22.0,0,0,8.05,0,1,0,0,0.030607064685655213
113,20.0,1,0,9.825,0,0,0,0,0.004413976954906945
114,17.0,0,0,14.4583,0,0,1,0,0.10776604001345126
115,21.0,0,0,7.925,0,1,0,0,0.02814890022596196
116,70.5,0,0,7.75,0,1,0,1,0.34554113844393175
117,29.0,1,0,21.0,0,1,0,0,0.044781467356360294
118,24.0,0,1,247.5208,1,1,1,0,0.9999999999999953
119,2.0,4,2,31.275,0,0,0,0,1.2581321351004699e-05
120,21.0,2,0,73.5,0,1,0,0,0.9124177535114923
122,32.5,1,0,30.0708,0,1,1,0,0.33431511975240086
