,age,sibsp,parch,fare,first_class?,sex_male,embarked_C,embarked_Q,SCORE
1,38.0,1,0,71.2833,1,0,1,0,0.9972620201227557
3,35.0,1,0,53.1,1,0,0,0,0.897859772754839
6,54.0,0,0,51.8625,1,1,0,0,0.9953285634941954
11,58.0,0,0,26.55,1,0,0,0,0.8489619906842215
23,28.0,0,0,35.5,1,1,0,0,0.75474851141832
27,19.0,3,2,263.0,1,1,0,0,0.9999999999984794
30,40.0,0,0,27.7208,1,1,1,0,0.8181050459875316
34,28.0,1,0,82.1708,1,1,1,0,0.999027762179983
35,42.0,1,0,52.0,1,1,0,0,0.9262280126396204
52,49.0,1,0,76.7292,1,0,1,0,0.9994280727635886
54,65.0,0,1,61.9792,1,1,1,0,0.999450439226184
61,38.0,0,0,80.0,1,0,0,0,0.9997992686594989
62,45.0,1,0,83.475,1,1,0,0,0.9994583291770703
83,28.0,0,0,47.1,1,1,0,0,0.9472934055771535
88,23.0,3,2,263.0,1,0,0,0,0.9999999999987745
92,46.0,1,0,61.175,1,1,0,0,0.9851520534007108
96,71.0,0,0,34.6542,1,1,1,0,0.9904608013347914
97,23.0,0,1,63.3583,1,1,1,0,0.9925469054135247
102,21.0,0,1,77.2875,1,1,0,0,0.9978067991612073
110,47.0,0,0,52.0,1,1,0,0,0.992694947378886
118,24.0,0,1,247.5208,1,1,1,0,0.9999999999999953
124,54.0,0,1,77.2875,1,1,0,0,0.9997610601125881
136,19.0,0,2,26.2833,1,0,0,0,0.06194572245906175
137,37.0,1,0,53.1,1,1,0,0,0.9138281380367931
139,24.0,0,0,79.2,1,1,1,0,0.9997412904745194
151,22.0,1,0,66.6,1,0,0,0,0.9662158267747794
155,51.0,0,1,61.3792,1,1,1,0,0.9984581434726886
170,61.0,0,0,33.5,1,1,0,0,0.9542918125950983
174,56.0,0,0,30.6958,1,1,1,0,0.9539979414074053
177,50.0,0,0,28.7125,1,0,1,0,0.9066720494705989
187,45.0,0,0,26.55,1,1,0,0,0.7120868151965835
194,44.0,0,0,27.7208,1,0,1,0,0.8480462892484308
195,58.0,0,0,146.5208,1,0,1,0,0.9999999990110247
209,40.0,0,0,31.0,1,1,1,0,0.8810533409583936
215,31.0,1,0,113.275,1,0,1,0,0.9999926112123867
218,32.0,0,0,76.2917,1,0,1,0,0.9997520020532319
224,38.0,1,0,90.0,1,1,0,0,0.9996785427535131
230,35.0,1,0,83.475,1,0,0,0,0.9988816397709599
245,44.0,2,0,90.0,1,1,0,1,0.9975312150641469
248,37.0,1,1,52.5542,1,1,0,0,0.8002216593934613
252,62.0,0,0,26.55,1,1,0,0,0.8858051641015623
257,30.0,0,0,86.5,1,0,0,0,0.9998721231550385
258,35.0,0,0,512.3292,1,0,1,0,1.0
262,52.0,1,1,79.65,1,1,0,0,0.998526261106008
263,40.0,0,0,0.0,1,1,0,0,0.030182697351497145
268,58.0,0,1,153.4625,1,0,0,0,0.999999998214832
269,35.0,0,0,135.6333,1,0,0,0,0.999999948175808
273,37.0,0,1,29.7,1,1,1,0,0.6709245085858464
275,63.0,1,0,77.9583,1,0,0,0,0.9996057612210133
290,26.0,0,0,78.85,1,0,0,0,0.9994643683489449
291,19.0,1,0,91.0792,1,0,1,0,0.9995155050848082
297,2.0,1,2,151.55,1,0,0,0,0.9999980571362566
299,50.0,0,1,247.5208,1,0,1,0,0.9999999999999991
305,0.92,1,2,151.55,1,1,0,0,0.9999980189535461
307,17.0,1,0,108.9,1,0,1,0,0.9999631498050722
309,30.0,0,0,56.9292,1,0,1,0,0.9946305641583858
310,24.0,0,0,83.1583,1,0,1,0,0.9998505781223546
311,18.0,2,2,262.375,1,0,1,0,0.9999999999998854
318,31.0,0,2,164.8667,1,0,0,0,0.9999999952859455
319,40.0,1,1,134.5,1,0,1,0,0.9999996107989184
325,36.0,0,0,135.6333,1,0,1,0,0.9999999772508693
329,16.0,0,1,57.9792,1,0,1,0,0.9720630891761679
331,45.5,0,0,28.5,1,1,0,0,0.7748362020263451
332,38.0,0,1,153.4625,1,1,0,0,0.9999999935044181
336,29.0,1,0,66.6,1,1,0,0,0.9797117712272428
337,41.0,0,0,134.5,1,0,1,0,0.9999999806875396
339,45.0,0,0,35.5,1,1,0,0,0.9061196728468096
341,24.0,3,2,263.0,1,0,0,0,0.9999999999988542
356,22.0,0,1,55.0,1,0,0,0,0.9395490868882743
366,60.0,1,0,75.25,1,0,1,0,0.999658051707733
369,24.0,0,0,69.3,1,0,1,0,0.9987709116617257
370,25.0,1,0,55.4417,1,1,1,0,0.9350381255580081
373,22.0,0,0,135.6333,1,1,1,0,0.9999999447036341
377,27.0,0,2,211.5,1,1,1,0,0.9999999999977216
380,42.0,0,0,227.525,1,0,1,0,0.9999999999999871
383,35.0,1,0,52.0,1,0,0,0,0.881458893564598
390,36.0,1,2,120.0,1,1,0,0,0.9999772457655329
393,23.0,1,0,113.275,1,0,1,0,0.9999873473797201
412,33.0,1,0,90.0,1,0,0,1,0.999293376861654
430,28.0,0,0,26.55,1,1,0,0,0.44090024540092
434,50.0,1,0,55.9,1,1,0,0,0.9749466307224224
435,14.0,1,2,120.0,1,0,0,0,0.9998946734971528
438,64.0,1,4,263.0,1,1,0,0,0.9999999999999927
445,4.0,0,2,81.8583,1,1,0,0,0.9916899408161567
447,34.0,0,0,26.55,1,1,0,0,0.5413851477522404
449,52.0,0,0,30.5,1,1,0,0,0.8783762122741791
452,30.0,0,0,27.75,1,1,1,0,0.6975422179584595
453,49.0,1,0,89.1042,1,1,1,0,0.999917427756472
456,65.0,0,0,26.55,1,1,0,0,0.9046768982133643
460,48.0,0,0,26.55,1,1,0,0,0.7516171102197596
462,47.0,0,0,38.5,1,1,0,0,0.9457324105502338
467,56.0,0,0,26.55,1,1,0,0,0.8382360401639793
484,25.0,1,0,91.0792,1,1,1,0,0.9996930453512911
486,35.0,1,0,90.0,1,0,0,0,0.9995852644653824
487,58.0,0,0,29.7,1,1,1,0,0.9532452185694897
492,55.0,0,0,30.5,1,1,0,0,0.8983347428969728
493,71.0,0,0,49.5042,1,1,1,0,0.998995206510204
496,54.0,1,0,78.2667,1,0,1,0,0.9996765122297535
498,25.0,1,2,151.55,1,0,0,0,0.9999995861761921
504,16.0,0,0,86.5,1,0,0,0,0.9996722657299895
505,18.0,1,0,108.9,1,1,1,0,0.9999673295251381
512,36.0,0,0,26.2875,1,1,0,0,0.5647496593279792
513,54.0,1,0,59.4,1,0,1,0,0.9943235536864423
515,47.0,0,0,34.0208,1,1,0,0,0.8981273787404054
520,30.0,0,0,93.5,1,0,0,0,0.9999559112202653
523,44.0,0,1,57.9792,1,0,1,0,0.9956453318021794
536,45.0,0,0,26.55,1,1,0,0,0.7120868151965835
537,30.0,0,0,106.425,1,0,1,0,0.9999971026177914
539,22.0,0,2,49.5,1,0,1,0,0.854747658671758
540,36.0,0,2,71.0,1,0,0,0,0.994666942245455
544,50.0,1,0,106.425,1,1,1,0,0.999994463238876
545,64.0,0,0,26.0,1,1,0,0,0.8908441762932133
550,17.0,0,2,110.8833,1,1,1,0,0.9999801612944677
555,62.0,0,0,26.55,1,1,0,0,0.8858051641015623
556,48.0,1,0,39.6,1,0,1,0,0.8519567929592727
558,39.0,1,1,79.65,1,0,0,0,0.9962834115124952
571,53.0,2,0,51.4792,1,0,0,0,0.7487299898288199
572,36.0,0,0,26.3875,1,1,0,0,0.5684855032771197
577,39.0,1,0,55.9,1,0,0,0,0.9462721472889309
581,39.0,1,1,110.8833,1,0,1,0,0.9999848727946254
583,36.0,0,0,40.125,1,1,1,0,0.957779973022857
585,18.0,0,2,79.65,1,0,0,0,0.9951992173783347
587,60.0,1,1,79.2,1,1,1,0,0.9995668593598652
591,52.0,1,0,78.2667,1,0,1,0,0.9996299673554105
599,49.0,1,0,56.9292,1,1,1,0,0.989086762972171
604,35.0,0,0,26.55,1,1,1,0,0.7289398268039188
607,27.0,0,0,30.5,1,1,0,0,0.5735099829079863
609,40.0,0,0,153.4625,1,0,0,0,0.9999999975423204
621,42.0,1,0,52.5542,1,1,0,0,0.9317860831157023
625,61.0,0,0,32.3208,1,1,0,0,0.9457971326863076
627,21.0,0,0,77.9583,1,0,0,0,0.9991416826307656
630,80.0,0,0,30.0,1,1,0,0,0.9777681274403548
632,32.0,0,0,30.5,1,1,1,0,0.8003477966963486
641,24.0,0,0,69.3,1,0,1,0,0.9987709116617257
645,48.0,1,0,76.7292,1,1,1,0,0.9994199659447617
647,56.0,0,0,35.5,1,1,1,0,0.9773096342048142
659,58.0,0,2,113.275,1,1,1,0,0.9999991245136692
660,50.0,2,0,133.65,1,1,0,0,0.9999985505987259
662,47.0,0,0,25.5875,1,1,0,0,0.7096298964060268
671,31.0,1,0,52.0,1,1,0,0,0.8569911038989677
679,36.0,0,1,512.3292,1,1,1,0,1.0
681,27.0,0,0,76.7292,1,1,1,0,0.9996920807674706
689,15.0,0,1,211.3375,1,0,0,0,0.9999999999951756
690,31.0,1,0,57.0,1,1,0,0,0.9276538556476069
694,60.0,0,0,26.55,1,1,0,0,0.8714806810623031
698,49.0,1,1,110.8833,1,1,1,0,0.9999926774025473
700,18.0,1,0,227.525,1,0,1,0,0.9999999999994993
701,35.0,0,0,26.2875,1,1,0,0,0.5481560047034773
707,42.0,0,0,26.2875,1,1,0,0,0.6601338241695301
708,22.0,0,0,151.55,1,0,0,0,0.9999999889717018
710,24.0,0,0,49.5042,1,0,1,0,0.9756034747610411
712,48.0,1,0,52.0,1,1,0,0,0.9494812295392918
716,38.0,0,0,227.525,1,0,1,0,0.9999999999999831
724,27.0,1,0,53.1,1,1,0,0,0.8440816041814764
730,29.0,0,0,211.3375,1,0,0,0,0.9999999999992275
737,35.0,0,0,512.3292,1,1,1,0,1.0
741,36.0,1,0,78.85,1,1,0,0,0.9979978728828675
742,21.0,2,2,262.375,1,0,1,0,0.9999999999999063
745,70.0,1,1,71.0,1,1,0,0,0.998362256837919
748,19.0,1,0,53.1,1,1,0,0,0.7596954368585919
759,33.0,0,0,86.5,1,0,0,0,0.9998954802250134
763,36.0,1,2,120.0,1,0,0,0,0.9999760035692011
765,51.0,1,0,77.9583,1,0,0,0,0.999116998777664
779,43.0,0,1,211.3375,1,0,0,0,0.9999999999992657
781,17.0,1,0,57.0,1,0,0,0,0.8258801826371261
782,29.0,0,0,30.0,1,1,0,0,0.5877314783834903
789,46.0,0,0,79.2,1,1,1,0,0.9999410514875458
796,49.0,0,0,25.9292,1,0,0,0,0.7363131373183829
802,11.0,1,2,120.0,1,1,0,0,0.9998778062566991
806,39.0,0,0,0.0,1,1,0,0,0.028275486269407575
809,33.0,1,0,53.1,1,0,0,0,0.8848508415603449
820,52.0,1,1,93.5,1,0,0,0,0.9998107769247652
822,38.0,0,0,0.0,1,1,0,0,0.026485498508808856
829,62.0,0,0,80.0,1,0,0,0,0.9999600187586773
835,39.0,1,1,83.1583,1,0,1,0,0.9989739920988218
842,30.0,0,0,31.0,1,0,1,0,0.7819225672877869
853,16.0,0,1,39.4,1,0,0,0,0.4917083672316389
856,45.0,1,1,164.8667,1,0,0,0,0.9999999941633648
857,51.0,0,0,26.55,1,1,0,0,0.7873407971813673
862,48.0,0,0,25.9292,1,0,0,0,0.7230527195124437
867,31.0,0,0,50.4958,1,1,0,0,0.9735888699390459
871,47.0,1,1,52.5542,1,0,0,0,0.8815204298119865
872,33.0,0,0,5.0,1,1,0,0,0.03993182138348293
879,56.0,0,1,83.1583,1,0,1,0,0.9999576554294561
887,19.0,0,0,30.0,1,0,0,0,0.408313369094639
889,26.0,0,0,30.0,1,1,1,0,0.7127898546689767
4,35.0,0,0,8.05,0,1,0,0,0.07034891066513838
9,14.0,1,0,30.0708,0,0,1,0,0.12070244870276749
15,55.0,0,0,16.0,0,0,0,0,0.4799463191354196
20,35.0,0,0,26.0,0,1,0,0,0.5373015883397987
21,34.0,0,0,13.0,0,1,0,0,0.1306173574717058
33,66.0,0,0,10.5,0,1,0,0,0.4689835220222668
53,29.0,1,0,26.0,0,0,0,0,0.08685734567588785
57,28.5,0,0,7.2292,0,1,1,0,0.08415619980436433
70,32.0,0,0,10.5,0,1,0,0,0.08238869732321225
72,21.0,0,0,73.5,0,1,0,0,0.998397471620527
74,32.0,0,0,56.4958,0,1,0,0,0.9899218152241653
79,30.0,0,0,12.475,0,0,0,0,0.09133103076070156
84,17.0,0,0,10.5,0,0,0,0,0.030117914834244506
94,59.0,0,0,7.25,0,1,0,0,0.2517440162893
98,34.0,0,1,23.0,0,0,0,0,0.21116824678459986
99,34.0,1,0,26.0,0,1,0,0,0.1231126488798129
108,38.0,0,0,7.8958,0,1,0,0,0.08293763333247858
114,17.0,0,0,14.4583,0,0,1,0,0.10776604001345126
116,70.5,0,0,7.75,0,1,0,1,0.34554113844393175
120,21.0,2,0,73.5,0,1,0,0,0.9124177535114923
122,32.5,1,0,30.0708,0,1,1,0,0.33431511975240086
123,32.5,0,0,13.0,0,0,0,0,0.11410051878973532
129,45.0,0,0,6.975,0,1,0,0,0.11179805904030225
130,33.0,0,0,7.8958,0,1,1,0,0.12097963409279229
133,29.0,1,0,26.0,0,0,0,0,0.08685734567588785
134,25.0,0,0,13.0,0,1,0,0,0.0758122459892412
135,23.0,0,0,15.0458,0,1,1,0,0.1725299793821155
145,19.0,1,1,36.75,0,1,0,0,0.09735348046805015
148,36.5,0,2,26.0,0,1,0,0,0.1778730343992858
149,42.0,0,0,13.0,0,1,0,0,0.20462977793713008
150,51.0,0,0,12.525,0,1,0,0,0.30476152331223627
152,55.5,0,0,8.05,0,1,0,0,0.23094940556118995
160,44.0,0,1,16.1,0,1,0,0,0.1621804725435575
161,40.0,0,0,15.75,0,0,0,0,0.24474008355367866
169,28.0,0,0,56.4958,0,1,0,0,0.9868526411178254
178,30.0,0,0,13.0,0,1,0,0,0.1029873125125438
189,36.0,0,0,7.8958,0,1,0,0,0.07326646704895443
190,32.0,0,0,13.0,0,0,0,0,0.1107460796992276
199,24.0,0,0,13.0,0,0,0,0,0.06779598352181994
203,45.5,0,0,7.225,0,1,1,0,0.22360850876768532
207,26.0,0,0,18.7875,0,1,1,0,0.31070123476574096
211,35.0,0,0,21.0,0,0,0,0,0.3397638404552521
213,30.0,0,0,13.0,0,1,0,0,0.1029873125125438
217,42.0,1,0,27.0,0,1,0,0,0.2187035211960591
219,30.0,0,0,10.5,0,1,0,0,0.07277646146834357
221,27.0,0,0,13.0,0,1,0,0,0.08578834715047262
222,51.0,0,0,8.05,0,1,0,0,0.18160216477624155
232,59.0,0,0,13.5,0,1,0,0,0.4654333214487225
236,44.0,1,0,26.0,0,1,0,0,0.21570113426714155
239,33.0,0,0,12.275,0,1,0,0,0.11174419615804666
242,29.0,0,0,10.5,0,1,0,0,0.06836753247317992
244,30.0,0,0,7.225,0,1,1,0,0.09220930115578745
249,54.0,1,0,26.0,0,1,0,0,0.35011951052102214
254,41.0,0,2,20.2125,0,0,0,0,0.1032253557574665
259,50.0,0,1,26.0,0,0,0,0,0.5533757179621014
265,36.0,0,0,10.5,0,1,0,0,0.10514017190222451
272,41.0,0,1,19.5,0,0,0,0,0.20105666543179143
276,45.0,0,0,7.75,0,0,0,0,0.1183910705256529
280,65.0,0,0,7.75,0,1,0,1,0.26727206625807143
285,33.0,0,0,8.6625,0,1,1,0,0.13394213798740953
288,42.0,0,0,13.0,0,1,0,0,0.20462977793713008
292,36.0,0,0,12.875,0,1,1,0,0.2642568106353895
308,30.0,1,0,24.0,0,1,1,0,0.14425249968786735
314,43.0,1,1,26.25,0,1,0,0,0.09879516227610381
317,54.0,0,0,14.0,0,1,0,0,0.4016460470527626
322,30.0,0,0,12.35,0,0,0,1,0.06208358901826558
326,61.0,0,0,6.2375,0,1,0,0,0.24807737211609407
327,36.0,0,0,13.0,0,0,0,0,0.14013250728996635
338,45.0,0,0,8.05,0,1,0,0,0.12909777733072073
342,28.0,0,0,13.0,0,1,0,0,0.09121073079865463
343,25.0,0,0,13.0,0,1,0,0,0.0758122459892412
344,36.0,0,0,13.0,0,1,0,0,0.1466607911311683
345,24.0,0,0,13.0,0,0,0,0,0.06779598352181994
346,40.0,0,0,13.0,0,0,0,0,0.17577527593495254
349,42.0,0,0,8.6625,0,1,0,0,0.11737861722536058
357,38.0,0,0,13.0,0,0,0,0,0.15713342836325836
361,29.0,1,0,27.7208,0,1,1,0,0.21728073658544284
362,45.0,0,1,14.4542,0,0,1,0,0.24558454594645351
385,18.0,0,0,73.5,0,1,0,0,0.9980400102494981
387,36.0,0,0,13.0,0,0,0,0,0.14013250728996635
389,17.0,0,0,12.0,0,0,1,0,0.07672074000126712
397,46.0,0,0,26.0,0,1,0,0,0.7087053888855789
399,28.0,0,0,12.65,0,0,0,0,0.08276616627272361
400,39.0,0,0,7.925,0,1,0,0,0.08855511707030317
401,26.0,0,0,8.05,0,1,0,0,0.039677449442821644
406,51.0,0,0,7.75,0,1,0,0,0.1749172425445335
414,44.0,0,0,7.925,0,1,0,0,0.1197062569878863
416,34.0,1,1,32.5,0,0,0,0,0.12806929809298342
418,30.0,0,0,13.0,0,1,0,0,0.1029873125125438
426,28.0,1,0,26.0,0,0,0,0,0.08167050821379017
427,19.0,0,0,26.0,0,0,0,0,0.27299440822491433
432,42.0,1,0,26.0,0,0,0,0,0.18564987260553234
439,31.0,0,0,10.5,0,1,0,0,0.07744608044084572
440,45.0,1,1,26.25,0,0,0,0,0.10627552294475333
443,28.0,0,0,13.0,0,0,0,0,0.0868993332558239
455,29.0,0,0,7.8958,0,1,1,0,0.09516513480442478
458,50.0,0,0,10.5,0,0,0,0,0.22214801409765345
463,48.0,0,0,13.0,0,1,0,0,0.2780457984688427
465,38.0,0,0,7.05,0,1,0,0,0.07366129278074876
471,38.0,0,0,8.6625,0,1,0,0,0.09225185847672904
473,23.0,0,0,13.7917,0,0,1,0,0.14042679712982573
478,22.0,0,0,7.5208,0,1,0,0,0.02830649606419785
482,50.0,0,0,8.05,0,1,0,0,0.171822089042022
483,63.0,0,0,9.5875,0,0,0,0,0.37333907179219794
503,37.0,0,0,9.5875,0,0,0,0,0.0939686375673999
506,33.0,0,2,26.0,0,0,0,0,0.13951623578725922
508,28.0,0,0,22.525,0,1,0,0,0.29946363587508107
509,26.0,0,0,56.4958,0,1,0,0,0.9849886472829654
516,34.0,0,0,10.5,0,0,0,0,0.0887491611051383
518,36.0,1,0,26.0,0,0,0,0,0.13216420898402267
526,50.0,0,0,10.5,0,0,0,0,0.22214801409765345
528,39.0,0,0,7.925,0,1,0,0,0.08855511707030317
543,32.0,1,0,26.0,0,1,0,0,0.10931519170063224
551,27.0,0,0,26.0,0,1,0,0,0.40409726828179904
561,40.0,0,0,7.8958,0,1,0,0,0.09375624159616915
562,28.0,0,0,13.5,0,1,0,0,0.09771519826419861
570,62.0,0,0,10.5,0,1,0,0,0.40295240406312793
576,34.0,0,0,13.0,0,0,0,0,0.12469885457318876
582,54.0,0,0,26.0,0,1,0,0,0.806435117099069
586,47.0,0,0,15.0,0,1,0,0,0.32802225159209764
592,47.0,0,0,7.25,0,1,0,0,0.13054015428768664
594,37.0,1,0,26.0,0,1,0,0,0.1465945641135932
603,44.0,0,0,8.05,0,1,0,0,0.1217247308328863
608,22.0,1,2,41.5792,0,0,1,0,0.1856959729832129
614,35.0,0,0,8.05,0,1,0,0,0.07034891066513838
615,24.0,1,2,65.0,0,0,0,0,0.8120351612041967
624,21.0,0,0,16.1,0,1,0,0,0.09128961673537132
626,57.0,0,0,12.35,0,1,0,1,0.30014834784955624
631,51.0,0,0,7.0542,0,1,0,0,0.160161574575087
